,RemovedColumns
0,loc_og_mou_7
1,spl_ic_mou_7
2,total_rech_data_6
3,total_ic_mou_7
4,total_rech_amt_6
5,spl_og_mou_6
6,total_ic_mou_6
7,loc_og_mou_6
8,std_og_t2t_mou_6
9,vol_2g_mb_6
10,arpu_3g_7
11,std_og_t2f_mou_7
12,jun_vbc_3g
13,max_rech_amt_6
14,count_rech_3g_6
15,std_ic_t2f_mou_6
16,std_og_mou_7
17,loc_og_t2f_mou_6
18,date_of_last_rech_day_7
19,loc_ic_mou_6
20,date_of_last_rech_6
21,isd_og_mou_7
22,total_rech_num_7
23,fb_user_7
24,date_of_last_rech_data_7
25,offnet_mou_7
26,loc_ic_t2t_mou_7
27,loc_og_t2m_mou_6
28,loc_ic_mou_7
29,ic_others_6
30,monthly_3g_6
31,sachet_2g_7
32,arpu_7
33,std_ic_t2t_mou_7
34,total_rech_num_6
35,sachet_3g_7
36,isd_ic_mou_7
37,date_of_last_rech_data_day_7
38,loc_ic_t2f_mou_7
39,loc_ic_t2t_mou_6
40,date_of_last_rech_data_8
41,loc_ic_t2m_mou_6
42,arpu_3g_6
43,total_data_call_rech_amt_7
44,total_rech_data_8
45,vol_2g_mb_7
46,std_og_t2m_mou_6
47,total_og_mou_6
48,date_of_last_rech_8
49,total_data_call_rech_amt_6
50,count_rech_2g_7
51,av_rech_amt_data_6
52,loc_ic_t2m_mou_7
53,loc_og_t2m_mou_7
54,vol_3g_mb_6
55,date_of_last_rech_data_day_6
56,arpu_2g_6
57,roam_ic_mou_7
58,std_og_t2m_mou_7
59,monthly_2g_7
60,isd_og_mou_6
61,av_rech_amt_data_8
62,loc_og_t2c_mou_6
63,total_data_rech_amt_6
64,av_rech_amt_data_7
65,std_ic_t2m_mou_7
66,spl_ic_mou_6
67,last_day_rch_amt_7
68,date_of_last_rech_day_6
69,sachet_3g_6
70,std_og_mou_6
71,max_rech_amt_7
72,offnet_mou_6
73,roam_og_mou_7
74,og_others_6
75,arpu_6
76,onnet_mou_7
77,vol_3g_mb_7
78,loc_og_t2t_mou_6
79,std_ic_t2f_mou_7
80,loc_ic_t2f_mou_6
81,total_rech_amt_7
82,roam_og_mou_6
83,count_rech_3g_7
84,loc_og_t2f_mou_7
85,isd_ic_mou_6
86,fb_user_6
87,std_ic_mou_7
88,std_og_t2t_mou_7
89,ic_others_7
90,loc_og_t2c_mou_7
91,total_data_rech_amt_8
92,date_of_last_rech_7
93,max_rech_data_6
94,total_rech_amt_8
95,arpu_2g_7
96,std_og_t2f_mou_6
97,night_pck_user_6
98,loc_og_t2t_mou_7
99,spl_og_mou_7
100,date_of_last_rech_data_6
101,sachet_2g_6
102,count_rech_2g_6
103,mobile_number
104,total_rech_data_7
105,total_og_mou_7
106,jul_vbc_3g
107,roam_ic_mou_6
108,std_ic_t2m_mou_6
109,last_day_rch_amt_6
110,max_rech_data_7
111,monthly_2g_6
112,std_ic_t2t_mou_6
113,onnet_mou_6
114,night_pck_user_7
115,total_data_rech_amt_7
116,monthly_3g_7
117,std_ic_mou_6
118,og_others_7
