,Algorithm_Name,Scenario,ROC_score,threshold
0,Logistic Regression with Default paramter,Incremental PCA,0.88,0.14
1,Logistic Regression with L2 Penalty,Incremental PCA,0.88,0.14
2,Random Forest with default parameter,Incremental PCA,0.87,0.47
3,Gradient Boosting with Default Paramter,Incremental PCA,0.87,0.1
4,Gradient Boosting with Hyperparameter Tuning,Incremental PCA,0.88,0.14
5,SVM,Incremental PCA,0.88,0.1
6,XB Boost,Actual Features,0.93,0.05000000074505806
7,Ada Boost,Actual Features,0.89,0.49
8,SVM,Actual Features,0.88,0.13
9,Random Forest,Over Sampling,0.92,0.45
10,XG Boost,Over Sampling,0.93,0.07999999821186066
